method	scope	feature	bin	n_sites	n_correct	n_wrong	accuracy_pct	error_rate	mean_confidence	mean_margin	mean_anchors	mean_donors	calibration_error
AWPhase_Phase6C_Rust_WMEC	all_phased	all	all	50671	50485	186	99.63292613131772	0.003670738686822883	0.9971554236940262	3.113311855262828	10.867813936965918	0.0	0.0008261623808490937
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	16_31	4143	4121	22	99.46898382814386	0.005310161718561468	0.9961868802799903	0.5243386193579601	21.395607048032826	0.0	0.001497041998551718
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	2_3	17058	17020	38	99.77723062492672	0.00222769375073284	0.9980151813225459	5.373762680033393	2.436393481064603	0.0	0.00024287507327869218
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	4_7	16247	16185	62	99.6183910875854	0.0038160891241459938	0.9966544655628723	2.820487296608794	5.190927555856466	0.0	0.0004705546870182875
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	8_15	9067	9018	49	99.45957869195985	0.00540421308040151	0.9968544016764087	1.995388685783506	10.575162677842727	0.0	0.0022586147568102177
AWPhase_Phase6C_Rust_WMEC	all_phased	anchors_bin	ge32	4156	4141	15	99.6390760346487	0.003609239653513008	0.9972072435033684	0.0	57.81015399422522	0.0	0.0008164831568814312
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.50_0.70	127	92	35	72.44094488188976	0.2755905511811023	0.6088049133858264	0.9225944724409445	10.244094488188976	0.0	-0.11560453543307125
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.70_0.82	135	116	19	85.92592592592592	0.14074074074074072	0.766549851851852	1.5500171703703707	11.718518518518518	0.0	-0.0927094074074073
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.82_0.90	194	178	16	91.75257731958763	0.08247422680412375	0.8639397010309285	2.351633329896907	11.025773195876289	0.0	-0.05358607216494771
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.90_0.98	683	648	35	94.87554904831626	0.051244509516837455	0.9482311639824295	3.354494711566623	12.99267935578331	0.0	-0.0005243265007330855
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	0.98_1.00	76	75	1	98.6842105263158	0.013157894736842146	0.9843925394736841	3.7358568684210534	20.394736842105264	0.0	-0.002449565789473751
AWPhase_Phase6C_Rust_WMEC	all_phased	confidence_bin	1.00	49456	49376	80	99.83824005176318	0.0016175994823681705	1.0	3.1219051546025827	10.822488676803623	0.0	0.0016175994823681705
AWPhase_Phase6C_Rust_WMEC	all_phased	donors_bin	lt2	50671	50485	186	99.63292613131772	0.003670738686822883	0.9971554236940262	3.113311855262828	10.867813936965918	0.0	0.0008261623808490937
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	1_5	20612	20576	36	99.82534445953813	0.0017465554046186549	0.9975133816223554	2.5613651390453276	5.458179701144964	0.0	-0.0007400629730259789
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	25_100	279	279	0	100.0	0.0	0.9998202724014338	28.466493204301074	2.1254480286738353	0.0	-0.000179727598566215
AWPhase_Phase6C_Rust_WMEC	all_phased	margin_bin	5_25	8637	8633	4	99.95368762301725	0.00046312376982748926	0.9985954044228323	10.09019465613053	3.8294546717610283	0.0	-0.0009414718073401662
